,AAPL,MSFT,AMZN,FB,TSLA,JPM,NVDA,UNH,HD,ADBE
139,136.94,264.15,3485.11,305.84,763.04,151.82,611.087,402.06,327.09,528.22
140,135.13,269.17,3433.11,303.6,781.78,157.09,624.166,406.06,335.2,525.65
141,139.6,264.5,3503.73,307.54,770.84,158.83,637.967,415.03,332.91,533.25
142,136.24,262.2,3356.98,312.82,769.17,155.43,611.665,407.01,329.12,519.42
143,140.41,266.3,3393.61,306.92,755.47,158.84,619.061,407.23,324.91,523.5
144,137.72,263.89,3353.67,311.61,753.71,155.83,635.0,404.54,329.66,535.93
145,140.91,268.96,3519.67,316.37,775.71,155.11,615.32,408.72,323.24,531.49
146,135.2,263.42,3518.53,305.87,750.81,152.64,618.54,410.05,323.92,536.04
147,137.06,273.31,3399.55,316.08,767.25,152.75,624.33,406.85,322.83,518.99
148,140.76,266.97,3486.65,314.22,764.0,157.33,633.12,401.16,324.69,529.73
149,134.81,263.72,3384.38,306.43,755.75,154.66,624.32,408.92,327.62,520.41
150,135.48,269.18,3498.96,316.49,770.84,157.67,609.06,401.61,336.89,532.76
151,137.26,270.76,3464.63,315.29,766.78,154.2,619.58,412.66,335.66,531.49
152,139.22,267.69,3449.7,303.16,754.46,155.61,631.55,407.52,336.4,521.72
153,135.857,266.7,3402.62,304.53,763.6,158.38,620.69,407.83,322.91,522.06
154,140.526,273.73,3371.23,303.36,769.4,153.91,614.87,408.21,323.2,533.18
155,140.715,266.87,3479.48,306.29,776.3,154.9,623.6,417.52,324.66,514.58
156,138.752,263.47,3380.29,311.39,760.2,157.66,624.03,402.68,331.5,522.75
157,140.822,262.78,3454.84,310.26,749.4,159.03,638.11,410.0,328.42,539.01
158,139.757,271.67,3408.35,313.1,762.8,155.82,636.16,399.17,338.36,531.0
159,140.333,261.77,3451.65,310.31,757.6,155.9,637.14,404.9,328.47,523.11
160,138.443,268.69,3405.77,313.63,759.7,151.97,630.99,401.7,323.18,515.94
161,140.09,270.37,3437.74,305.55,763.94,153.31,618.44,408.51,332.98,514.9
162,138.2,273.03,3470.71,308.35,756.63,153.17,619.32,405.92,327.93,536.5
163,140.79,273.71,3409.69,317.36,774.35,158.55,635.02,400.98,328.96,533.19
164,138.3,268.34,3435.83,313.3,756.48,158.98,634.49,400.21,322.77,522.33
165,134.22,265.39,3447.53,313.93,757.44,155.25,635.72,414.19,325.09,519.45
166,135.62,267.92,3475.31,317.68,761.84,154.89,621.0,400.07,330.17,531.9
167,137.37,263.4,3454.72,310.54,773.79,154.72,614.0,410.27,330.44,530.39
168,138.11,272.75,3396.89,308.99,752.95,155.75,630.0,408.97,325.96,535.12
169,136.68,265.5,3445.61,316.27,769.19,157.81,616.0,399.11,331.97,514.8
170,135.95,273.67,3410.22,310.2,748.75,154.76,624.0,400.99,335.28,536.98
171,138.55,267.68,3412.87,313.88,775.1,152.23,628.0,405.49,336.6,521.67
172,134.65,267.45,3386.57,310.48,746.44,152.5,616.0,406.83,336.97,533.69
173,137.13,268.19,3513.97,310.96,756.11,154.41,621.0,399.61,336.09,532.17
174,136.03,264.36,3396.95,308.12,761.5,153.83,630.0,409.22,328.71,537.01
175,134.4,273.11,3394.97,312.58,753.09,156.07,616.0,404.47,334.05,538.91
176,140.8,271.86,3385.17,310.65,768.01,158.29,634.0,407.16,327.54,523.61
177,140.61,273.2,3464.89,304.27,749.4,155.02,624.0,403.02,323.7,538.92
178,136.196,264.43,3501.73,317.54,751.62,153.31,627.0,416.95,325.0,524.16
179,137.737,263.93,3380.54,314.55,782.4,154.51,620.0,402.44,323.26,518.08
180,134.57,267.06,3391.85,317.19,752.06,152.72,619.0,411.04,331.34,537.63
181,140.16,265.85,3371.23,310.11,749.34,159.08,616.4,414.78,334.88,530.92
182,134.538,269.15,3365.68,308.83,760.19,154.97,628.5,415.33,324.8,525.22
183,138.84,272.01,3480.1,308.69,752.88,155.98,626.9,407.58,330.31,523.02
184,139.91,271.24,3474.82,308.53,775.53,153.41,635.8,415.34,338.01,534.75
185,138.89,269.43,3513.76,311.7,749.81,154.49,623.1,400.58,326.53,536.42
186,135.08,264.11,3512.08,305.9,777.54,151.99,622.1,415.63,324.99,515.09
187,138.67,262.29,3508.91,315.0,767.77,156.28,609.0,414.24,333.43,514.23
188,138.43,274.51,3435.95,312.0,771.27,152.52,618.3,400.07,326.26,536.77
189,139.209,268.95,3430.84,313.7,753.75,153.34,625.5,412.21,326.99,531.14
190,135.086,273.09,3433.87,312.0,780.41,158.66,619.1,400.75,334.82,530.77
191,137.591,268.72,3502.61,312.2,775.46,155.46,616.2,403.63,328.77,524.11
192,137.648,263.61,3437.98,315.7,763.68,156.08,614.3,415.3,326.57,528.23
193,138.81,270.21,3427.18,303.1,752.44,155.01,608.4,410.16,338.1,531.38
194,139.14,269.07,3447.9,307.6,781.64,157.19,610.2,417.46,331.01,532.14
195,134.717,274.03,3472.95,305.2,776.82,156.5,624.0,417.53,326.8,520.47
196,138.034,273.8,3400.87,306.89,773.56,156.81,617.5,412.68,329.95,522.4
197,140.24,268.29,3404.78,304.09,778.47,155.41,636.9,410.63,323.7,530.8
198,135.017,273.96,3355.64,311.52,784.89,155.89,619.8,413.86,327.39,519.56
199,135.55,266.4,3445.86,316.25,752.15,157.21,631.4,408.13,333.23,534.65
200,140.43,270.56,3481.9,303.85,756.83,156.12,615.5,415.75,338.59,519.86
201,137.8,262.68,3397.45,311.01,757.97,151.58,635.0,402.24,323.16,532.28
202,138.32,265.22,3497.6,316.23,749.65,152.85,618.1,413.22,330.64,524.72
203,138.24,262.08,3409.32,306.45,749.39,152.07,631.4,415.68,331.14,536.45
204,137.9,267.77,3495.21,312.89,778.4,158.65,631.0,415.64,326.15,536.03
205,134.9,271.61,3359.72,315.7,754.83,158.62,630.1,416.07,331.23,517.84
206,140.4,268.19,3521.06,314.74,781.03,152.73,622.2,398.09,328.02,525.91
207,135.9,265.33,3415.36,306.9,766.65,153.57,616.0,413.28,324.42,535.37
208,135.4,263.23,3478.59,303.43,749.03,154.05,636.3,414.13,330.91,538.41
209,135.92,262.08,3513.54,310.42,762.33,153.11,615.8,402.51,326.97,532.61
210,136.2,272.34,3476.71,314.57,749.39,153.56,622.0,404.06,334.64,515.54
211,139.5,262.89,3437.41,308.71,780.19,153.62,620.3,416.46,327.05,518.68
212,135.86,269.26,3485.95,309.95,749.89,152.87,633.4,404.05,325.02,536.37
213,140.82,269.0,3483.94,304.27,778.03,155.31,614.2,405.04,336.67,536.75
214,138.93,261.8,3436.49,306.11,780.58,158.21,637.3,410.1,330.47,516.58
215,140.04,267.7,3386.56,314.32,764.47,153.75,637.1,398.6,336.1,525.03
216,136.43,264.5,3416.01,311.07,756.201,155.16,617.5,407.33,330.9,523.87
217,140.9,264.6,3357.49,303.9,757.4,152.64,631.3,411.49,335.11,534.64
218,138.7,269.8,3488.92,316.4,755.834,158.83,628.6,406.96,327.43,516.13
219,135.79,263.6,3453.68,310.9,772.451,155.95,625.8,407.82,337.77,536.97
220,136.41,269.7,3437.07,312.6,751.562,155.55,614.2,409.65,338.3,538.55
221,138.85,267.3,3469.26,309.0,751.598,156.74,637.5,409.93,333.05,515.45
222,136.85,265.9,3457.03,311.4,776.093,158.33,628.6,399.43,336.3,532.08
223,139.19,267.2,3392.92,308.9,761.243,159.05,621.5,398.96,338.19,513.99
224,140.37,272.0,3378.52,303.6,768.82,158.74,630.2,415.82,333.69,537.11
225,139.64,266.4,3390.69,309.0,759.94,157.61,609.0,403.95,323.55,536.96
226,135.39,268.7,3484.27,303.7,758.35,158.88,618.6,410.44,334.59,528.68
227,138.48,266.0,3440.88,308.1,763.44,152.65,611.6,404.7,323.26,523.01
228,135.51,263.2,3415.52,304.9,762.89,157.76,626.1,410.78,334.1,532.11
229,139.81,271.642,3396.07,305.9,760.14,156.17,610.9,410.12,329.04,537.46
230,137.89,271.786,3480.02,307.6,774.31,155.88,610.8,414.31,335.69,516.71
231,137.73,264.76,3439.17,307.4,750.33,158.58,630.1,404.89,337.65,537.74
232,136.74,268.255,3398.85,308.8,749.83,158.22,621.4,414.68,329.65,522.15
233,140.03,273.708,3417.38,303.8,784.74,157.82,636.9,411.61,331.67,530.14
234,136.77,266.764,3466.19,304.7,755.94,153.78,610.9,415.97,332.82,522.47
235,136.12,267.859,3490.64,315.6,784.97,156.21,612.2,398.51,326.38,532.28
236,138.18,272.01,3496.23,312.3,771.69,155.97,620.5,416.17,337.95,522.41
237,139.9,267.508,3409.42,303.2,764.11,156.6,613.6,402.86,323.28,536.87
238,135.36,263.502,3414.73,303.8,777.81,153.19,635.6,403.43,331.67,520.75
239,134.52,264.35,3500.35,308.2,775.38,159.26,609.8,402.66,327.92,533.73
240,140.57,266.27,3358.41,309.0,776.0,153.07,611.0,400.77,336.34,521.43
241,135.02,273.48,3446.3,315.8,747.97,154.54,618.2,406.52,337.66,519.31
242,139.541,262.28,3463.29,313.4,758.03,152.19,616.3,416.6,328.97,523.53
243,137.668,270.94,3406.18,316.6,760.65,157.02,619.9,401.61,330.85,537.85
244,137.51,268.31,3366.91,315.7,778.903,155.8,615.6,411.87,335.04,537.26
245,134.66,267.19,3355.13,312.5,760.282,155.29,636.3,399.54,334.91,531.48
246,136.94,273.98,3460.78,309.3,756.176,152.07,629.8,405.08,331.38,519.07
247,140.451,267.71,3486.85,316.2,777.971,154.62,609.1,408.61,336.2,536.98
248,140.201,273.51,3394.72,304.0,759.803,156.22,613.5,407.07,336.62,536.27
249,140.618,263.49,3375.14,312.0,770.693,155.3,626.6,405.86,326.17,530.41
250,140.519,264.68,3443.71,308.6,763.574,154.4,632.8,412.16,330.37,535.87
251,134.99,268.12,3408.15,312.8,756.13,158.26,610.4,413.18,333.54,539.34
252,134.69,265.29,3433.26,308.4,775.69,156.09,616.6,398.1,335.54,514.58
253,135.79,272.79,3441.43,308.5,758.72,152.07,634.0,403.08,335.46,515.34
254,136.32,265.41,3452.25,312.8,755.87,157.08,614.6,413.58,327.3,530.65
255,137.15,268.33,3470.12,308.6,784.06,153.44,625.2,406.57,325.3,522.81
256,136.168,273.1,3486.58,308.4,782.47,153.39,619.3,402.09,337.6,537.24
257,138.64,262.0,3490.47,309.5,779.13,158.25,619.5,410.25,329.5,532.68
258,134.8,269.5,3400.73,306.3,755.22,157.32,617.2,408.46,337.0,520.96
259,134.4,270.5,3443.4,313.3,762.14,157.66,631.6,401.01,330.1,538.72
260,138.8,269.7,3450.74,309.2,749.18,157.88,635.6,416.8,331.0,517.18
261,139.89,262.0,3413.02,304.2,770.162,154.54,626.9,399.11,325.9,520.72
262,140.18,261.7,3383.07,312.3,780.171,152.19,620.1,405.6,332.0,522.98
263,135.82,269.5,3394.68,307.7,765.127,155.6,607.8,407.74,323.3,524.1
264,140.24,267.6,3378.37,308.4,754.302,153.81,635.2,409.15,323.2,531.07
265,135.7,271.5,3463.65,307.3,762.078,156.07,626.5,400.46,336.4,534.08
266,139.5,272.5,3476.42,310.4,747.359,158.63,631.5,414.12,332.3,525.99
267,140.38,269.8,3427.961,316.6,779.888,158.75,626.78,404.24,334.2,532.83
268,134.5,261.9,3374.021,312.4,777.491,153.37,614.63,399.72,331.0,518.51
269,137.87,263.4,3412.019,317.5,778.57,153.45,624.73,416.61,322.6,532.42
270,140.29,270.5,3448.414,313.1,764.04,156.02,627.96,401.84,333.6,533.1
271,138.08,273.65,3486.598,304.5,771.44,157.32,617.47,401.21,324.3,517.95
272,138.48,262.45,3397.23,310.8,781.55,159.4,610.6,400.63,325.8,528.66
273,136.57,264.18,3431.596,313.5,757.85,154.65,635.37,407.85,337.8,523.98
274,137.8,271.64,3477.524,306.1,782.74,156.88,609.41,403.92,329.1,523.86
275,135.1,269.2,3361.554,317.3,781.8,152.3,608.57,406.67,332.7,532.95
276,140.08,266.52,3390.72,310.2,757.0,154.34,617.21,407.21,332.0,518.86
277,139.34,270.6,3503.045,304.4,772.0,155.5,609.45,404.98,334.3,519.75
278,138.48,271.79,3453.411,311.4,766.06,158.48,622.75,398.28,326.3,524.2
279,138.89,262.92,3468.906,309.0,754.35,155.01,628.65,414.85,323.9,537.31
280,136.73,272.06,3499.306,304.2,751.47,156.52,621.43,407.19,334.2,516.21
281,138.28,274.29,3471.685,308.7,749.34,157.68,624.05,412.18,328.9,517.71
282,139.11,261.43,3408.541,307.2,748.21,151.9,612.8,412.36,336.9,527.85
283,136.01,269.26,3512.433,309.4,753.46,154.53,609.32,417.61,328.6,533.52
284,137.57,264.13,3389.656,306.2,781.01,155.83,629.148,416.31,333.6,521.48
285,137.74,272.72,3448.397,312.8,779.13,155.17,629.219,417.64,325.1,515.68
286,138.93,270.11,3431.183,312.3,761.18,157.58,621.026,411.82,328.7,538.44
287,140.6,265.53,3359.942,304.6,764.91,156.41,615.582,412.11,338.1,531.62
288,135.43,272.85,3495.057,311.15,764.9,153.34,620.316,409.16,323.6,532.88
289,137.61,268.09,3462.889,303.02,776.232,153.38,608.746,411.07,330.0,518.34
290,134.74,261.8,3502.274,314.43,758.285,155.79,620.056,399.69,326.0,537.21
291,135.56,261.42,3461.426,310.9,757.446,153.09,625.493,410.06,335.0,535.2
292,134.56,265.38,3501.087,306.13,760.88,158.1,636.881,417.0,325.1,532.06
293,139.16,267.33,3448.688,313.82,750.74,155.91,616.752,403.24,324.9,513.08
294,135.18,267.7,3460.256,306.98,766.5,156.04,636.456,411.4,335.4,532.38
295,135.72,270.14,3454.466,313.92,765.72,154.53,614.465,416.9,329.3,533.77
296,140.57,266.62,3494.854,317.03,775.24,159.14,629.451,412.03,330.0,517.26
297,139.897,265.24,3495.0,305.86,770.49,156.84,624.569,413.92,333.95,534.93
298,137.063,269.03,3453.36,311.5,763.95,153.9,609.996,407.37,322.47,513.27
299,134.897,273.13,3478.83,315.5,765.65,157.02,609.672,411.19,323.39,530.77
300,134.94,268.87,3354.65,302.7,776.1,153.98,631.767,413.94,326.58,538.13
301,135.746,269.53,3508.15,312.0,759.88,156.47,624.771,409.9,332.22,524.62
302,135.114,261.54,3502.56,310.2,758.84,152.14,636.004,398.55,326.56,530.75
303,137.8,262.47,3474.17,307.6,764.0,153.36,623.997,404.45,336.16,527.8
304,135.51,264.24,3456.76,311.0,776.1,156.2,627.226,407.41,335.77,517.04
305,136.925,265.79,3459.91,314.4,779.5,153.72,632.56,408.68,328.06,520.25
306,136.568,267.09,3405.59,308.2,752.15,158.78,612.336,403.78,336.57,516.36
307,136.711,268.93,3464.61,312.7,753.94,158.9,626.788,405.18,334.59,518.87
308,136.452,262.97,3404.29,312.6,754.55,156.23,626.204,401.12,338.12,515.4
309,140.492,274.09,3465.06,310.6,781.44,155.26,624.383,404.1,334.6,519.59
310,137.487,262.02,3358.37,307.0,752.11,156.61,616.912,410.4,332.48,526.93
311,134.985,273.92,3427.43,306.2,746.71,156.52,610.752,408.72,334.52,524.37
312,136.975,262.61,3447.08,316.0,763.783,159.29,608.055,416.65,330.53,515.59
313,138.039,268.95,3501.15,311.5,748.378,158.19,616.504,410.78,337.9,529.47
314,135.045,268.98,3413.0,316.8,753.976,158.11,612.496,405.82,335.5,531.75
315,138.92,272.8,3508.78,304.6,770.192,156.87,613.518,416.11,328.42,523.18
316,140.116,266.46,3511.55,313.4,760.748,158.6,618.62,410.9,331.6,520.31
317,137.288,262.85,3359.45,316.2,755.0,152.0,615.137,404.86,329.2,532.82
318,135.662,270.55,3399.19,303.1,776.587,157.21,630.819,401.09,335.99,533.13
319,135.328,272.25,3375.82,312.3,775.349,157.66,633.154,416.19,327.77,521.27
320,140.052,272.65,3489.12,310.5,773.135,152.87,608.047,414.61,323.77,513.61
321,139.275,262.71,3450.32,313.3,772.479,154.3,633.363,412.15,331.02,520.02
322,136.603,268.04,3364.86,304.3,761.46,154.084,622.407,401.05,333.92,522.91
